CEF:0|null|datafirewall|0.0.1|cleanLogs|Clean Log Files|1|externalId=2 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=26:86:A3:EA:FA:D3:26:86:A3:EA:FA:D3:7A:7B:8A:3E:3C:26:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 11:00:00 end= rt=25.12.2025 11:00:00 msg=Cleaned old log files deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|stopService|Stop Service|1|externalId=3 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=26:86:A3:EA:FA:D3:26:86:A3:EA:FA:D3:7A:7B:8A:3E:3C:26:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 11:14:05 end= rt=25.12.2025 11:14:05 msg=Stopped service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|startService|Start Service|1|externalId=1 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=26:86:A3:EA:FA:D3:26:86:A3:EA:FA:D3:7A:7B:8A:3E:3C:26:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 11:21:15 end= rt=25.12.2025 11:21:15 msg=Started service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|stopService|Stop Service|1|externalId=2 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=26:86:A3:EA:FA:D3:26:86:A3:EA:FA:D3:7A:7B:8A:3E:3C:26:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 11:23:29 end= rt=25.12.2025 11:23:29 msg=Stopped service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|startService|Start Service|1|externalId=1 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=26:86:A3:EA:FA:D3:26:86:A3:EA:FA:D3:7A:7B:8A:3E:3C:26:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 12:06:43 end= rt=25.12.2025 12:06:43 msg=Started service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|stopService|Stop Service|1|externalId=2 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=26:86:A3:EA:FA:D3:26:86:A3:EA:FA:D3:7A:7B:8A:3E:3C:26:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 12:58:44 end= rt=25.12.2025 12:58:44 msg=Stopped service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|startService|Start Service|1|externalId=1 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=E6:F6:30:5C:4B:7B:E6:F6:30:5C:4B:7B:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 16:47:30 end= rt=25.12.2025 16:47:30 msg=Started service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|stopService|Stop Service|1|externalId=2 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=E6:F6:30:5C:4B:7B:E6:F6:30:5C:4B:7B:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 16:50:36 end= rt=25.12.2025 16:50:36 msg=Stopped service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|startService|Start Service|1|externalId=1 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=E6:F6:30:5C:4B:7B:E6:F6:30:5C:4B:7B:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 18:17:54 end= rt=25.12.2025 18:17:54 msg=Started service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|stopService|Stop Service|1|externalId=2 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=E6:F6:30:5C:4B:7B:E6:F6:30:5C:4B:7B:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 18:23:36 end= rt=25.12.2025 18:23:36 msg=Stopped service deviceProcessName=java outcome=success
CEF:0|null|datafirewall|0.0.1|startService|Start Service|1|externalId=1 suser=vladimirpak sntdom= src=127.0.0.1 smac= shost=Noutbuk-Vladimir.local duser=vladimirpak dntdom= dst=127.0.0.1 dmac=E6:F6:30:5C:4B:7B:E6:F6:30:5C:4B:7B:6E:F5:26:48:1D:A6 dhost= dvchost=Noutbuk-Vladimir.local spt=9200 dpt=9200 app=TCP start=25.12.2025 18:23:43 end= rt=25.12.2025 18:23:43 msg=Started service deviceProcessName=java outcome=success
